x,y,z
200707.50,629913.50,41.68
200708.50,629913.50,41.30
200710.50,629913.50,41.55
200711.50,629913.50,41.22
200712.50,629913.50,35.14
200713.50,629913.50,35.53
200716.50,629913.50,39.59
200718.50,629913.50,40.22
200723.50,629913.50,37.99
200731.50,629913.50,29.93
200732.50,629913.50,30.08
200733.50,629913.50,30.22
200734.50,629913.50,30.14
200745.50,629913.50,29.92
200747.50,629913.50,29.94
200749.50,629913.50,29.99
200671.50,629912.50,34.27
200680.50,629912.50,33.33
200681.50,629912.50,32.43
200682.50,629912.50,32.56
200688.50,629912.50,32.95
200690.50,629912.50,37.12
200691.50,629912.50,37.16
200692.50,629912.50,37.69
200694.50,629912.50,41.55
200696.50,629912.50,42.18
200707.50,629912.50,42.01
200708.50,629912.50,41.87
200710.50,629912.50,41.89
200711.50,629912.50,35.22
200712.50,629912.50,41.33
200713.50,629912.50,35.53
200715.50,629912.50,39.69
200716.50,629912.50,39.47
200718.50,629912.50,40.55
200720.50,629912.50,40.44
200721.50,629912.50,40.16
200732.50,629912.50,30.16
200733.50,629912.50,30.09
200734.50,629912.50,30.12
200735.50,629912.50,30.16
200738.50,629912.50,38.18
200744.50,629912.50,29.96
200745.50,629912.50,29.65
200747.50,629912.50,29.91
200749.50,629912.50,29.80
200750.50,629912.50,30.12
200751.50,629912.50,30.30
200669.50,629911.50,35.73
200672.50,629911.50,33.13
200681.50,629911.50,32.98
200682.50,629911.50,32.88
200683.50,629911.50,33.32
200689.50,629911.50,34.29
200691.50,629911.50,39.03
200692.50,629911.50,36.08
200694.50,629911.50,42.96
200695.50,629911.50,43.35
200696.50,629911.50,43.56
200697.50,629911.50,44.15
200701.50,629911.50,45.55
200703.50,629911.50,45.59
200711.50,629911.50,41.95
200712.50,629911.50,36.44
200713.50,629911.50,35.88
200716.50,629911.50,39.79
200717.50,629911.50,40.50
200718.50,629911.50,40.54
200720.50,629911.50,40.82
200721.50,629911.50,40.62
200722.50,629911.50,40.68
200723.50,629911.50,40.41
200724.50,629911.50,39.63
200726.50,629911.50,39.19
200734.50,629911.50,37.47
200735.50,629911.50,30.20
200745.50,629911.50,30.27
200748.50,629911.50,29.90
200672.50,629910.50,32.97
200673.50,629910.50,33.01
200677.50,629910.50,37.52
200682.50,629910.50,33.19
200683.50,629910.50,33.02
200684.50,629910.50,33.28
200686.50,629910.50,30.75
200687.50,629910.50,31.94
200689.50,629910.50,33.86
200694.50,629910.50,42.78
200695.50,629910.50,42.60
200698.50,629910.50,45.41
200701.50,629910.50,45.82
200707.50,629910.50,39.73
200709.50,629910.50,36.82
200710.50,629910.50,37.06
200714.50,629910.50,38.04
200716.50,629910.50,38.98
200717.50,629910.50,40.04
200718.50,629910.50,40.79
200720.50,629910.50,39.95
200721.50,629910.50,40.67
200722.50,629910.50,40.54
200723.50,629910.50,40.54
200724.50,629910.50,40.07
200726.50,629910.50,39.15
200734.50,629910.50,30.19
200736.50,629910.50,31.13
200746.50,629910.50,29.92
200750.50,629910.50,29.81
200755.50,629910.50,30.45
200681.50,629909.50,33.58
200682.50,629909.50,33.58
200683.50,629909.50,33.70
200684.50,629909.50,33.92
200686.50,629909.50,31.19
200687.50,629909.50,32.12
200689.50,629909.50,33.85
200690.50,629909.50,33.80
200691.50,629909.50,34.32
200692.50,629909.50,33.05
200699.50,629909.50,46.42
200714.50,629909.50,34.96
200715.50,629909.50,35.99
200716.50,629909.50,40.10
200717.50,629909.50,39.22
200719.50,629909.50,39.49
200720.50,629909.50,39.85
200721.50,629909.50,39.50
200722.50,629909.50,40.41
200723.50,629909.50,40.28
200727.50,629909.50,35.55
200729.50,629909.50,30.12
200731.50,629909.50,30.14
200748.50,629909.50,30.07
200754.50,629909.50,29.88
200756.50,629909.50,31.00
200678.50,629908.50,36.64
200682.50,629908.50,33.81
200683.50,629908.50,34.56
200687.50,629908.50,31.73
200690.50,629908.50,33.66
200691.50,629908.50,33.58
200694.50,629908.50,39.85
200696.50,629908.50,44.89
200697.50,629908.50,45.12
200714.50,629908.50,34.34
200715.50,629908.50,35.04
200716.50,629908.50,35.78
200717.50,629908.50,38.14
200718.50,629908.50,39.43
200719.50,629908.50,38.42
200720.50,629908.50,36.22
200721.50,629908.50,38.60
200722.50,629908.50,40.82
200723.50,629908.50,31.29
200726.50,629908.50,35.84
200727.50,629908.50,29.92
200728.50,629908.50,29.96
200729.50,629908.50,29.82
200733.50,629908.50,35.99
200734.50,629908.50,41.05
200746.50,629908.50,30.14
200747.50,629908.50,30.01
200748.50,629908.50,31.24
200752.50,629908.50,30.19
200753.50,629908.50,29.87
200755.50,629908.50,30.85
200756.50,629908.50,31.49
200757.50,629908.50,31.32
200667.50,629907.50,36.49
200680.50,629907.50,33.42
200681.50,629907.50,33.31
200682.50,629907.50,33.08
200685.50,629907.50,36.57
200688.50,629907.50,31.33
200691.50,629907.50,30.11
200692.50,629907.50,31.60
200693.50,629907.50,32.15
200694.50,629907.50,39.26
200695.50,629907.50,44.13
200697.50,629907.50,45.22
200698.50,629907.50,46.38
200699.50,629907.50,46.46
200701.50,629907.50,45.97
200702.50,629907.50,45.70
200715.50,629907.50,35.51
200716.50,629907.50,36.30
200717.50,629907.50,36.29
200718.50,629907.50,36.09
200722.50,629907.50,36.18
